03月15日10:48,来自情感超话,打开眼界,#像极了我作为普通人的日常#上了大学下次一定#每天啥都不想干怎么办#L打开眼界的微博视频,['[跪了]'],2474841654,LjONIeuDF
03月14日23:47,来自iPhone客户端,璐子好孩子,#每天啥都不想干怎么办#开始摆烂不想学习描红好好玩,"['[伤心]', '[思考]']",6371920694,LjKtt61F7
03月14日23:04,来自iPhone客户端,娟shmily欧耶,#每天啥都不想干怎么办#现在是什么也干不了,"['[苦涩]', '[苦涩]']",3908117599,LjKc4dgn8
03月14日21:23,来自iPhone客户端,都别闲着给我努力_,#每天啥都不想干怎么办#我…,[],7514931541,LjJwHDDQ7
03月14日19:43,,cc是不倒翁,#每天啥都不想干怎么办#正好最近也经历了一小段时间的颓丧，所以看到这个话题时，一下子就想起了之前那些小挣扎的时刻。相信每个人都有过状态不佳的时候，比如明明有好多事想去做，但却一直拖着。所以我们不妨把这个话题换成：当你状态不好的时候，该怎么调整？在这里也分享几个tips：①做一展开c,[],5594226214,LjISt2R5e
03月14日18:39,来自iPhone客户端,杨九妞儿_127,#每天啥都不想干怎么办#那就去闻一闻花香，看一看春天,['[心]'],5288279368,LjIsgrY0z
03月14日17:13,来自扑腾的咸鱼iPhoneX,HAE帽帽,#每天啥都不想干怎么办#摆烂摆烂摆烂,[],1768266924,LjHTnv9VL
03月14日15:00,来自微博weibo.com,星辉玩具,#星辉嘻游记#来一辆“懒人专用车”——MINI三合一折叠三轮车一键折叠，宝妈一手搞定小小踏板，宝宝轻松踩踏#每天啥都不想干怎么办#替宝妈们省心省力~,"['[星星]', '[星星]']",2067005103,LjH1f1Jib
03月14日12:42,来自日常超话,-我就跟你抢辣条,拍摄花絮每日一问:有没有宝子想来菊厂做实习生呀！！来了姐姐带你们玩！#每天啥都不想干怎么办##写真##打工人#日常2北京,[],6058125557,LjG7fd2PW
03月14日12:13,转赞人数超过20来自微博weibo.com,三铜钱,八字偏弱的人胆儿怕事，唯唯诺诺，患得患失，许多人问我，那弱的人能不能变强，很抱歉，不可能。这些骨子里的东西不会因为大运改变而改变，只能说你换了一个补强的大运，你这些缺点会稍微收敛一点，人变得稍微积极一点，有可能屌丝逆袭。弱的人就是要比强的人付出更多才能成功。为什么，你会觉得周围小展开c,[],2559751122,LjEU82xcZ
03月14日10:49,来自荣耀X105G,花花挣钱钱,#每天啥都不想干怎么办#就想当个尸体每天都想躺着可以吗,['[doge]'],5676807736,LjFnHvO4z
03月14日08:00,来自OPPOReno65G,连一句敷衍也不给我么,#每天啥都不想干怎么办#现在发现自己越来越懒了妈妈我赶紧让我出去不想让我在家待,[],7542760375,LjEh2FjpS
03月14日07:50,转赞人数超过20来自微博视频号,女王控日志,小时候幸福是一件很简单的事，长大了简单是一件很幸福的事。#每天啥都不想干怎么办#L女王控日志的微博视频,[],2628551563,Ljyw66FPQ
03月14日07:50,来自微博国际版,一凡爱的艺术,#每天啥都不想干怎么办#承认接受这就是自己的人生。,[],1892013711,LjEcKaDpX
03月14日07:25,来自微博搜索,张宏涛心理,#每天啥都不想干怎么办##自传写作班#那就回顾自己的过往人生，假定有一个摄像头，把你从出生到现在的所有经历都记录了下来，然后快进播放。这就是你的人生电影。你来看看这个电影叫什么名字合适？这个电影是喜剧，是悲剧，还是正剧，又或者是无聊剧？你就是电影里的绝对主角，和一号导演。电展开c,[],1237561161,LjE2Hds5t
03月13日23:23,来自OPPOReno45G,小小了右,#每天啥都不想干怎么办#焦虑了眼高手低又停课了我要立flag明天开始认真学习好好减肥加油,"['[泪]', '[泪]', '[加油]']",6465500546,LjATbiw8U
03月13日19:05,转赞人数超过20来自iPhone13ProMax,AG赵腾,学了好多有趣的小组件，觉都不想睡了果然，兴趣驱动比较快乐啊#每天啥都不想干怎么办#,['[二哈]'],2127147020,Ljygg9fb8
03月13日18:13,来自nova7Pro你在焦点在,清爽沁柠,宅家日常#每天啥都不想干怎么办#,[],2264880562,LjyR5rkXB
03月13日18:11,来自华为Mate40保时捷设计,陈宝Nevin-,#每天啥都不想干怎么办#乡下挑大粪的，不比这个强？一边在晃悠，还要担心大粪洒出来，神经系统一直在控制！啥玩意，还来自于意大利的专项发明，国人就这么容易被忽悠？#T.F整体疗法分享#,"['[允悲]', '[允悲]', '[允悲]', '[嘻嘻]', '[嘻嘻]', '[嘻嘻]']",1837428045,LjyQgAGIW
03月13日18:08,,庄小贪,sweatdreams#每天啥都不想干怎么办#,[],1492699664,LjyPjsDhq
03月13日18:08,,糯米欧尼Ya,天气好就适合出去走走今日穿搭我i了#每天啥都不想干怎么办##ootd##今日穿搭#,['[爱你]'],2617005563,LjyP3cvOo
03月13日18:07,来自iPhone客户端,一自夕和猫,#每天啥都不想干怎么办#又是想退休的一天2重庆·重庆江北国际机场T2航站楼A区L一自夕和猫的微博视频,['[馋嘴]'],1757483943,LjyONyU6I
03月13日18:05,来自iPhone客户端,可爱的鬼故事-,休息的日子好像开了两倍速#每天啥都不想干怎么办#2重庆,[],6029901557,LjyO9oRZF
03月13日18:05,来自iPhone客户端,没钱充共享单车的318骑手,#每天啥都不想干怎么办#天天看日落不想上班2惠州·张新村,['[打脸]'],3518484432,LjyO39kQJ
03月13日18:02,来自iPhone13Pro,Ko0ky,“什么样的年龄，就过好什么样的生活，时候到了，该你懂得事一件也不会少。”#每天啥都不想干怎么办#,[],1762075894,LjyMCienc
03月13日18:00,来自iPhone客户端,不丢的佛系主子,#每天啥都不想干怎么办#等小高下班中（手脚冰凉瑟瑟发抖……）2石家庄·正定古城,['[挖鼻]'],3978721984,LjyLOhwwH
03月13日17:57,,萧全,#每天啥都不想干怎么办#虽然来自嗦粉大省广西，但我觉得除了桂林米粉和螺蛳粉这两支独秀，广西的米粉文化还有待挖掘和出圈。可以借鉴一下隔壁湖南，用国潮的方式来做米粉文化，在长沙，甚至有一条湖南米粉街。长沙麻辣牛肉粉、永州卤粉、邵阳牛肉粉、衡阳鱼粉、津市牛肉粉、郴州杀猪粉，还有各种各样展开c,[],1746459202,LjyKCnYq3
03月13日17:55,,金水木命理,克隆人参与因果吗？说说你们第一眼是怎么断句的！？？！不许撒谎！#每天啥都不想干怎么办#2深圳,"['[doge]', '[doge]', '[doge]', '[doge]', '[doge]']",5733607060,LjyJR7mVr
03月13日17:54,来自nova5Pro人像超级夜景,里央-,遇见山茶花。#踏青##每天啥都不想干怎么办#2赣州,[],6088356142,LjyJtsRk0
03月13日17:52,来自iPhone客户端,唐糖小妹崽,发芽的小心情#每天啥都不想干怎么办#,[],6360830928,LjyIItQTE
03月13日17:51,来自iQOONeo5生而为赢,坠落月球_小怪兽,#每天啥都不想干怎么办#不想上班还想有钱,['[熊猫]'],6130002268,LjyIsePFb
03月13日17:50,来自iPhone客户端,景泰-海月,明天就要开学了，这个寒假有些长#上海下一站下一站上海##天气即天意##每天啥都不想干怎么办#2苏州·滨河公园,['[嘻嘻]'],5478073942,LjyI5d3x7
03月13日17:50,来自iPhone7,·碎碎想念·,#每天啥都不想干怎么办#接着摆烂啊,[],7562529692,LjyHYsuba
03月13日17:49,来自HUAWEIMatePadPro,喵星君大大,给人起名这个事，是最难的。明明是我精挑细选的字，却总是因为不被人喜欢，而又要被人围绕这个含义修改一下。但其实字字皆有用意。名字重要吗？以前听郭德纲的时候，讲过这么一个事。古代的皇帝的名字要有“讳”，也就是说写皇帝的名字要少一笔。咸丰皇帝奕詝，少一笔就是宁字底下少一勾，这叫“展开c,[],1457750002,LjyHFyQOR
03月13日17:49,来自iPhone客户端,i林杨-,小众优质宝藏绝绝子手绘#情侣头像#｜一些朋友圈短句文案日出于东而落于西有人在爱你有人在远离做一阵风吧有温柔也有英勇四季周而复始的更替来年还是春风绕枝头我以为要不了多久就会见面所以分开的那天没有好好拥抱告别这是我最大的遗憾.你总不能像个落难者，展开c,[],7155772031,LjyHFtlOz
03月13日17:49,来自微博视频号,晚安阿姝,今天发烧38.7度#每天啥都不想干怎么办#L晚安阿姝的微博视频,['[泪]'],6973689188,LjyHxiy0g
03月13日17:48,来自微博视频号,惜惜梓,#广州超话#叫你女朋友给你拍#同城种草##每天啥都不想干怎么办#2广州·珠江新城L惜惜梓的微博视频,[],2461342750,LjyGVnB17
03月13日17:46,来自挖金矿のiPhone12ProMax(金色),涛财神,当完队长…坐等潮汕大乱炖…#每天啥都不想干怎么办#2深圳,"['[吃瓜]', '[吃瓜]', '[吃瓜]']",1741882667,LjyGgjduj
03月13日17:45,来自iQOO35G性能旗舰,碧海晴晴空,#每天啥都不想干怎么办##今日贴纸打卡#还有7天稳住，坚决服从组织安排,"['[doge]', '[加油]']",3204553085,LjyG5ENDK
03月13日17:41,来自vivo手机,单纯---Girl,#吉林加油##每天啥都不想干怎么办#你记得花花就不会枯萎你记得我我就在(˙˙)2长春,[],7682069022,LjyEdiQL0
03月13日17:41,来自iPhone客户端,UNSUPERJIN,#每天啥都不想干怎么办#唉我都快烦死了，也很焦虑，昨晚又没睡好！我觉得我大概率不考研了！考研国家线出来了……就我们这种物流专硕涨了15分！190了，那不得考到210才能进复试啊了！冷门都成热门了！以后都没有冷门专业了！这两天一直在摆烂！！！！周五回家没有学习！看到国家线以后展开c,[],5883602830,LjyEc6UZx
03月13日17:41,来自谢胜子超话,一只银大赤,直播越听越有力量不管活在哪个阶段，千万别给人生只留一个支点。.得保持经济的独立，能手心朝下挣钱的时候，千万别手心朝上依赖他人。.得保持独立的人格，有兴趣爱好，有三五好友，能独立思考，不要在日常琐碎中弄丢了自己。.这样，才能不依赖于任何一段关系/平台…随时都有走展开c,['[春游家族]'],7020013521,LjyE9aHAO
03月13日17:40,来自vivoAI智慧拍照X21,婵宝宝723,#生活碎片##随手拍#第一次看见开出小白花的勿忘我某天下班回家时刻波光粼粼的云朵也不知道蒜一样的郁金香能不能开一个礼拜奶茶偶尔尝试一下芋圆#每天啥都不想干怎么办#就想吃吃喝喝~玩玩乐乐~吃饭和旅游一样，环境超级重要,[],5027627305,LjyE0hFgc
03月13日17:40,来自iPhone13Pro,神首集团公主家大咖Athena,等疫情结束期待和大家相聚#今天穿什么##时尚穿搭#公主家#每天啥都不想干怎么办#,[],3550439193,LjyDSym5Q
03月13日17:40,来自iPhone客户端,c惠云,#每天啥都不想干怎么办#我才24就想进养老院。我太累了,['[苦涩]'],6441950315,LjyDN3fKD
03月13日17:39,来自iPhone客户端,祺姐丫,我爱过，伤过，痛过，恨过，就特么没瘦过！#抬头自拍大赛##减肥大作战##每天啥都不想干怎么办#2上海·金地广场,['[摊手]'],1771385244,LjyDjpI5d
03月13日17:36,来自iPhone客户端,叫我小盐吧,我好像抓住了春天#随手拍春天##每天啥都不想干怎么办#2晋江市,[],5951794752,LjyCr3Eaw
03月13日17:35,来自iPhone客户端,教授侃数码,没事刷了下视频，发现这部剧有个bug：苹果手机怎么可能允许在电梯里面打电话呢#每天啥都不想干怎么办#,['[doge]'],7319311183,LjyBU1hyZ
03月13日17:35,来自vivoY5s闪充强续航,旺仔牛奶贼好喝,#每天啥都不想干怎么办#我也想知道怎么办,[],7619930257,LjyBTDWj7
03月13日17:34,来自iPhone12,八级大大大大大大狂疯,每天光想干怎么办？#每天啥都不想干怎么办#,[],5213539532,LjyBhAaEP
03月13日17:29,来自iPhone客户端,王什么千,#每天啥都不想干怎么办#摆就完事了,[],6184999419,Ljyzfms85
03月13日17:27,来自OPPOReno65G,连一句敷衍也不给我么,#每天啥都不想干怎么办#真的是说到心里去了我也是每天啥都不想干,[],7542760375,LjyyunsLo
03月13日17:24,来自微博国际版,五五柒肆柒五五,停电#每天啥都不想干怎么办#,[],2959083620,LjyxdtCiT
03月13日17:21,来自安宥ayu超话,安宥Ayu,每天都有在好好工作！#春季出街look#最近的温度真是叫人难以琢磨，真是在短短的一周感受了四季#每天啥都不想干怎么办#哈哈哈哈哈这个热搜是谁每天都想躺尸并发出灵魂一问安宥ayu,[],5819081816,LjyvZApIU
03月13日17:20,来自微博weibo.com,不务正业的李雷,#每天啥都不想干怎么办#不是没有事情做，是真的不愿意动。典型的拖延症......我是重度拖延症患者（科研工作者一样会有拖延症），如果可以给拖延症分期的话，我大概就是那种晚期转移类型……曾经戏言deadline是第一生产力，每次都是卡着节点。为了对抗拖延症，我看了不少书，也做了不少笔记，然而展开c,[],5993423827,LjyvJ2GXD
03月13日17:18,来自大帅b的iPhone客户端,答案在这儿,#每天啥都不想干怎么办#在线求解答，关键我月底考试,['[微笑]'],7483818785,Ljyv1jI4e
03月13日17:16,来自iPhone客户端,是珊珊呀_,#每天啥都不想干怎么办#周末可以无限循环么,[],3674668941,Ljyud4HhL
03月13日17:16,来自iPhone客户端,仙人掌城堡,#天气即天意##每天啥都不想干怎么办#春天在地里、我还穿着羽绒服、心冷！一上午都在折腾卖车、然后中午一起吃饭、全程无话、没有沟通这可怎么办呢？下午我自己睡到四点被喊起来回去！这算约会？算什么？真的太难受了！心情低落！不想说话了！,[],5381598759,Ljyu4ayEb
03月13日17:15,来自OPPOReno5Pro5G,樊樊樊樊可,#诗歌##情感语录##每天啥都不想干怎么办#《野风》你怎么舍得我难过北方的春苹果白开水小调黑色的袜子上粘上白色的线在春风里摇好多个春路过好多个颜色绽放过把曾经拥有变成曾经又过了几个春来来去去反反复复没有反转的剧情没有观众买单。,[],3857879041,LjytVEBIr
03月13日17:15,来自微博视频号,微博禁毒第一人马霄,【可耻！#男子偷闯女厕从缝隙抢手机被刑拘#】近日，云南曲靖。一男子偷入某电影院女卫生间，通过卫生间挡板缝隙将一女生手机抢走。该女生连忙追出，但不见男子踪影遂报警求助。经勘察，民警确认并抓获嫌疑人杨某。目前，杨某因涉嫌抢夺罪，被依法给予刑事拘留。#男子闯女厕从门缝抢走女生手机#展开c,[],1270750184,LjytNDH0F
03月13日17:14,来自微博weibo.com,阳光49393,不要轻易放弃一个每天都会想念的人。这样的人，一辈子也不会遇到几个。即便在一起要吃很多苦头，咬咬牙也就过去了。生活的苦，会随光阴淡去。但失去挚爱的疼痛，时间也无法洗涤。多年后仍能让你心痛的，是当年轻易放弃的真爱。——网易云音乐热评墙《天真有邪》#这届考研生究竟有多难#展开c,[],7614386756,LjytocVU2
03月13日17:11,,拖地的小僧,#每天啥都不想干怎么办#好多人有这种想法吧，尤其是长期不工作之后，这种状态特别明显。如果自己财务自由了，啥都不想干就躺着，躺着，还是躺着，每天让人伺候自己。如果没有财务自由，啥都不想干，那不得饿死，所以不用去想该怎么办，那是想多了。,[],6728318859,LjyrZoOf8
03月13日17:10,来自iPhone客户端,zozo圣地,皇后杀了皇后#每天啥都不想干怎么办#2大连Lzozo圣地的微博视频,[],6601621406,LjyrOsN54
03月13日17:08,来自iPhone客户端,小潘不吃肉y,微博上真的什么都有#每天啥都不想干怎么办#,[],7512892104,LjyqKffwn
03月13日17:07,来自吉安超话,吉安-李不理,记得要把简单的生活过的有趣些工作时自律身体休息时治愈灵魂吉安2吉安·吉安海洋世界#潮流生活##每天啥都不想干怎么办##吉安生活#2吉安,[],5876462911,LjyqAbmkI
03月13日17:07,来自荣耀505G,一定要睡10个小时,#每天啥都不想干怎么办#焦虑,[],6433080352,LjyqyFode
03月13日17:07,来自iPhone13ProMax,Hey我是咖咖,我太喜欢笑起来甜甜的吕孩子了～我笑起来就不甜！且肉会乱走..我只适合当酷酷的吕孩！#每天啥都不想干怎么办#,['[哆啦A梦吃惊]'],7318384766,Ljyqj0VlJ
03月13日17:05,来自HUAWEIP40Pro5G,花衿茵梦,#自拍##随手拍##抬头自拍大赛#这个镜子会让人#上瘾#周末又要过去了#每天啥都不想干怎么办#2丽水·松阳县,"['[爱你]', '[爱你]', '[哈欠]', '[哈欠]', '[哈欠]']",3234090674,LjyptlqsM
03月13日17:03,来自微博视频号,眼整形医生刘志刚,接受《法制晚报》采访视频第二片段，在录制之前我就在想，能不能尽量用通俗的话给大家讲解明白我的双眼皮手术理念及方法，主持人开玩笑说她听完我的讲解后，她可以当专家了在这段里讲了下我做双眼皮修复手术这些年的经历和一些算是“行业内幕”吧，视频最后说了些心里话，真的帮助到有失败双眼皮展开c,['[哈哈]'],2517401373,Ljyp31qxV
03月13日17:03,来自iPhone客户端,蔬菜就很好吃,情绪也有很大的力量。感觉身体再难受，也远不及消极的情绪带来的影响大。#每天啥都不想干怎么办#,[],2603492792,LjyoXpvgS
03月13日17:03,,青暮雪河,#每天啥都不想干怎么办#资本资本你必须要有资本嘛！否则啥也别说了，继续搬砖去因为连想一想的资格都没有的，柴米油盐酱醋茶，等到你认清的时候里已经过了躺平的年纪了,"['[吃惊]', '[吃惊]', '[求饶]', '[求饶]', '[求饶]', '[悲伤]', '[悲伤]', '[悲伤]']",1573980410,LjyoRemNi
03月13日17:03,来自iPhone客户端,有一种月亮-,每天都不想学习#每天啥都不想干怎么办#2酒泉,[],6280680241,LjyoLkQgu
03月13日17:01,来自猪咪困困Android,·和坤子哥见面·,#每天啥都不想干怎么办#那就躺平,['[抱一抱]'],6607319049,Ljyo4tZwu
03月13日17:00,来自iPhone客户端,柠小七柒,"""温度慢慢上升，属于我们的春天来了""文案#随手拍##治愈不开心##每天啥都不想干怎么办#2贵阳",[],6376397713,Ljynwabyk
03月13日16:58,来自小米9,SHZH18,她:保大还是保小啊。他:当然保大啊！不知道为什么以前古人为啥保小。她:原因有两个:1.怕没有孩子2.怕不再有孩子。他:那古代不是可以再娶一个吗？她:重点是孩子…人家只想要个孩子。才不管大人死活。这么说明白了吗。他:明白了#每天啥都不想干怎么办#,['[笑cry]'],3757704770,LjymSBxHs
03月13日16:56,来自iPhone客户端,爱你3000遍-,#每天啥都不想干怎么办#世上无难事，只要肯放弃,[],5529171164,Ljym43PUy
03月13日16:52,来自RedmiNote11Pro+,我很小气cute,#每天啥都不想干怎么办#只想吃喝玩乐,"['[开学季]', '[开学季]', '[开学季]', '[开学季]', '[开学季]', '[开学季]']",3913460079,Ljykufh5h
03月13日16:52,来自HUAWEIMate40,一颗游白菜,#你有朋友圈依赖症吗##每天啥都不想干怎么办#,[],7267892321,LjykkrTLD
03月13日16:50,来自iPhone客户端,sang能量告急,#每天啥都不想干怎么办##好心态有多重要#热爱可抵岁月漫长。但只有少部分非常幸运的人，可以从事自己热爱的事业。还有少部分人努力爱上自己干的事情，从中找到成就感。一部分人在做自己还算擅长的事情，无关喜好。更有大部分人不得不从事可以养活自己的工作。想不想很重要，又没那么重要。,[],1599531533,LjyjBgsZj
03月13日16:49,来自荣耀30青春版5G,老张他的星星,不是工作太难而是我太难了#每天啥都不想干怎么办#2南宁,[],6442588158,Ljyji6lxG
03月13日16:48,来自微博视频号,全世界青少年熬夜大赛冠军,《我摆烂的一生》#每天啥都不想干怎么办#L全世界青少年熬夜大赛冠军的微博视频,[],6355507013,LjyiWy6Dk
03月13日16:47,来自vivoU3强劲芯动力,等愚齐,虽然已进入吃土状态，还是智慧不足，执念太重！感谢小红书@文遗世界提供一双慧眼，让我见识世界苦难之余还有如此呆萌可爱的护法，愿众生离苦得乐！#每天啥都不想干怎么办##佛法看世间#,[],1279178343,LjyilAMEa
03月13日16:46,来自iPhone12Pro,霹雳辣妈嘟嘟嘟,离职少女终于不用再在周六写周报了，所以赶紧献殷勤做了顿晚餐给队友～吃完饭火速出发去看了场贺岁档电影，也算是弥补了好几个月没看上电影的遗憾～电影院大躺椅还没人，舒服舒服#生活的模样##家庭陪伴计划##每天啥都不想干怎么办#2北京,"['[污]', '[污]']",1697950975,LjyhPFX58
03月13日16:45,来自微博视频号,VIGOROUSLIFES,春天来了，刷脂还要等吗？今年春天来得晚，但一下子这么猛！没来得及穿春装呢，好像马上要可以穿短袖了！爱美的人着急了，我这一身的肉肉可怎么办啊？春天来了春天来了，刷脂不要等了，行动起来吧！也许你会说：我人到中年了，胖点瘦点好像不打紧吧？又不相亲找对象！可是你不知道肥胖会带来展开c,[],2502487222,LjyhBrJWz
03月13日16:45,来自Android,Dawn911005,#每天啥都不想干怎么办#摆烂，坐化升仙，等着上天,"['[awsl]', '[awsl]', '[awsl]']",7351610637,LjyhvBuc6
03月13日16:40,来自vivoS12,盐味儿薄荷叶,周末两天，摆烂了又#每天啥都不想干怎么办#,[],6738027724,LjyfCABkC
03月13日16:39,来自OnePlus9R,我爱吃大鹅eeeeeee,就是说，很无聊啊姐妹们！！文献看不下去！呜呜呜呜呜！怎么办！！好怀念大学啊#没有疫情的大学生活什么样##每天啥都不想干怎么办#,[],5524559749,Ljyfb3z2s
03月13日16:37,来自我的生活态度超话,chrome-h,那就浅更一哈哈#每天啥都不想干怎么办#我的生活态度,[],3539133663,Ljyeaas8c
03月13日16:37,来自微博weibo.com,三铜钱,我发现一些女孩子在买衣服的时候很是纠结，这个也不错，那个也漂亮，不知道要买哪一件，甚至买一件衣服要货比三家，有的甚至在试衣间偷偷在某宝下单。这些人还要被别人说成八字偏弱的女人，没主见。其实治疗纠结的最好的办法就是钱，纠缠买哪一件衣服的时候，干脆全部打包买回去。发现没有，你有没有钱展开c,[],2559751122,Ljye6ycdF
03月13日16:35,来自微博视频号,Try·一只瓶子,#每天啥都不想干怎么办#她忙起来不爱化妆，打扮起来还凑活，她发飙起来会很急，但经常也会和别人说谢谢，我最了解她，因为她就是我自己2上海·荣盛名邸LTry·一只瓶子的微博视频,[],5399626521,LjydzwWqF
03月13日16:34,来自XiaomiCivi,想学坤坤打篮球,绿豆冰棍没有绿豆，你的眼里没有我#每天啥都不想干怎么办#2广州,[],2035707894,Ljyd7EKXf
03月13日16:33,来自iPhone客户端,Audrey00821,#每天啥都不想干怎么办#这段时间真的又累又充实！毕业后从来没有这么认真过#带着边框一起拍#2长沙,['[喵喵]'],3902305190,LjycLdvUo
03月13日16:30,,鱼困丸子,#每天啥都不想干怎么办#就是我,[],7558832946,LjybFk6HR
03月13日16:29,来自RedmiK20Pro尊享版,葱油饼不带葱,不仅仅秋天才有收获，因为四季都在成熟，晚安！#拯救不开心##这届考研生究竟有多难##每天啥都不想干怎么办#,[],1747583281,Ljyb5xDus
03月13日16:28,来自段子手超话,薇妮小面包,这洗衣机怎么回事#每天啥都不想干怎么办#L薇妮小面包的微博视频,['[抱一抱]'],3027783884,Ljyaz2vGJ
03月13日16:18,来自HUAWEIP40Pro5G,学徒阿民,#每天啥都不想干怎么办#我想出去干点什么事情哪怕是出去吹吹风早上起来我就想着想着想着睡着了躺了一天,[],2748870411,Ljy6zoZvI
03月13日16:14,来自Android,于筱思,"#每天啥都不想干怎么办#我到了这个阶段了...狠狠emo动力在哪里~我需要动力和鞭策看来还是因为午觉没睡下午狠狠地无精打采了我需要重新养成一个适合的学习生活作息才行,,^,,加油","['[顶]', '[顶]']",7502411896,Ljy4YbiZQ
03月13日16:06,来自iPhone客户端,MymyUtopia-,#每天啥都不想干怎么办#我有超能力任何事情都超出我的能力,[],5642068318,Ljy1Pn2iz
03月13日15:47,转赞人数超过50来自iPhone12ProMax,刘晨曦-从心,#每天啥都不想干怎么办#其实“啥也不想干”的人恰恰是“完美主义者”，对自己要求很高，一旦做什么就想做到足够好，足够让自己和别人满意。但正因为这样的心理，反而顾虑纠结，不知道如何踏出第一步才妥当，或者做了一点发现不满意就开始自我否定，如此一来，内耗很大，干脆放弃躺平。给这些要么不动展开c,[],1747643602,Ljfj0q4tc
03月13日15:37,来自iPhone客户端,我是海姑娘,#每天啥都不想干怎么办#想干很多事,['[奥特曼]'],2723146937,LjxQ5hwuu
03月13日15:27,来自iPhone12,哆啦一个喵,#每天啥都不想干怎么办#先确定是不是抑郁症等心理疾病如果不是，基本上，热爱生活的人，都会或多或少的会有自己想做或者该做的事儿，如果没有想做的事儿，那就先把该做的事儿做好，做好该做的事儿，其实也够一个人忙活的了,"['[笑cry]', '[笑cry]', '[笑cry]', '[赞]', '[赞]', '[赞]']",1751272262,LjxM587lS
03月13日14:17,来自微博weibo.com,郑芝麻,#每天啥都不想干怎么办#结合上一条，谈谈热爱。我的圈友问我：自己有喜欢的事情，也愿意去做，但是很怕失败，如何确定这就是你想做的事呢？——这可能也是你的困惑。很多人在投入去做一件事之前，想着性价比，回报如何。如果回报很差，不及预期，或者【失败了】，那么我做这件事就是浪费时间展开c,[],1163552223,LjxjnFNCY
03月13日13:31,来自臭臭猫和胡萝卜兔超话,Poker郄垚-QieYao,臭臭猫和胡萝卜兔@臭臭猫和胡萝卜兔……听说星巴克杯子里发现了蟑螂………………还好我不喝咖啡………我TM是螳螂…………#漫画##每天啥都不想干怎么办#,"['[吐]', '[吃惊]', '[吃惊]', '[哼]', '[汗]']",2080625933,Ljx0NdwWM
03月13日12:49,来自HUAWEIMate40,复试过且选到想要的导师,#每天啥都不想干怎么办#是我了,"['[跪了]', '[跪了]']",6339379843,LjwJBkSEv
03月13日12:40,来自Redmi10X4G版,他哩鹤,#每天啥都不想干怎么办#摸一下鱼很健康,['[doge]'],5949375317,LjwGdkIZH
03月13日12:40,来自HUAWEIMate305G,美丽的马宁宁,#每天啥都不想干怎么办#就是说准博士的我隔离已经玩了10天了可怕可怕2上海·上海大学(宝山校区),[],6083509064,LjwG77p1p
03月13日12:26,,琛照,懒散有几种1.印旺为忌，想太多太保守而行动力不足的懒，2.财旺为忌，欲望太多，想要太多，能力不足的懒，3.食伤旺为忌，想法太多点子如同烟花绚烂，实操不行的懒，4官杀混杂而为忌，这是真焦虑，真严苛，把自我制废了的懒。类型不一，处理方式不同。下条微博详细写。#每天啥都不想干怎么办#,[],2144011083,LjwAz80o8
03月13日12:22,,琛照,#每天啥都不想干怎么办#把这个问题的底层逻辑搞清楚，你就立马能“活动”起来了。成年人并不存在每天啥都不想干的“绝对情形”，不是不想干，而是不想干那些不喜欢的事情，或者自己想做的事情没有找到“做事的成就感”从而无法下手，只能“躺平”。除非是福报大带来的真佛系，一般人是躺不平的。展开c,[],2144011083,LjwyL6jAv
03月13日12:14,来自nova5Pro人像超级夜景,DD戴红娟,#每天啥都不想干怎么办#在#潭州教育#摄影期间，我碰到不太明白的地方，讲师们都会为我及时解答，有时还会帮我进行照片的后期处理。特别感谢讲师们的悉心指导，让我的摄影水平得到快速的提高。,[],3905169633,LjwvE8VSR
03月13日11:59,来自iPhoneXSMax,头发洗多了会油,#每天啥都不想干怎么办#每日一省,[],1926102647,LjwpurMHZ
03月13日10:56,来自Android,美味的我o,#每天啥都不想干怎么办#我只想躺在床上呃啊,['[衰]'],7488734306,LjvZRyYuM
03月13日10:45,来自HUAWEIMate305G,一車偭包人,#每天啥都不想干怎么办##每天啥都不想干怎么办#开摆开摆（提一句我今天歇班）,['[doge]'],5338769223,LjvVj3zgv
03月13日10:08,来自微博搜索,裸枪,#每天啥都不想干怎么办#那就只能被干了,[],1180860635,LjvGhCKaW
03月13日10:07,来自iPhone客户端,惠子瞎叨叨,#每天啥都不想干怎么办#2郑州L惠子瞎叨叨的微博视频,[],2301572684,LjvFPBM0M
03月13日09:51,转赞人数超过10来自iPhone客户端,yan西笨,头发长了想剪短了就想留长染深了想染浅染浅了想染深#每天啥都不想干怎么办#就想折腾,[],3796471702,Ljou4beuW
03月13日09:23,来自HUAWEIMate30,木黄金帛人农,#每天啥都不想干怎么办#这是种病吧。,[],1390251754,LjvokuAd0
03月13日09:09,来自小米10青春版5G,我只想永远吃果冻,#每天啥都不想干怎么办#我真的疲倦于每天的沟通，和形形色色的人，和乱七八糟的事，这都让我身心俱疲，我消耗在沟通的精力和时间远超于我实际实际工作这个动作的时间，不管你站在哪一个位置，和人沟通真的好累好累好累。,[],5262146671,LjvihvO4A
03月13日08:59,来自客户端Android,飘不到云里头,#每天啥都不想干怎么办#[微笑趣泡]#成长有态度#摆烂，坐化升仙，等着上天。,[],7582725060,LjveyaQGU
03月13日08:39,来自RedmiNote11Pro,灰兔鹅派斯i7,#每天啥都不想干怎么办#是我,[],5886125368,Ljv6noCb3
